"om_r","awc_r","wsatiated_r","kwfact","ph1to1h2o_r","compname","slope_r","runoff","tfact","elev_r","geomdesc","ffd_r","nirrcapcl","nirrcapscl","irrcapcl","irrcapscl","mukey","musym","muname","drainagecl","aws025wta"
1.5,0.13,39,0.37,6.30,"Hanford",6,"Low",3,336,"alluvial fans, flood plains",260,3,"e",2,"e",693540,"HfC","Hanford loam, 2 to 9 percent slopes","Well drained",3.25
4,0.06,14,0.05,5.70,"Burgundy",63,"High",1,441,"hills, hills",194,7,"e",,,1862006,104,"Knuckle-Burgundy-Argixerolls complex, 20 to 70 percent slopes","Well drained",1.52
1,0.07,23,0.1,5.10,"Knuckle",60,"Medium",2,699,"hills, hills",194,7,"e",,,1862006,104,"Knuckle-Burgundy-Argixerolls complex, 20 to 70 percent slopes","Somewhat excessively drained",1.52
1,0.10,30,0.15,5.10,"Argixerolls",28,"Very high",2,393.7999878,"hills, hills",194,7,"e",,,1862006,104,"Knuckle-Burgundy-Argixerolls complex, 20 to 70 percent slopes","Well drained",1.52
3,0.17,39,0.28,7.10,"Casino",60,"Very high",2,699,"hills, hills",250,7,"e",,,1862006,104,"Knuckle-Burgundy-Argixerolls complex, 20 to 70 percent slopes","Moderately well drained",1.52
4,0.06,14,0.05,7.10,"Burgundy",35,"Very high",1,441,"hills, hills",194,7,"e",,,1862006,104,"Knuckle-Burgundy-Argixerolls complex, 20 to 70 percent slopes","Well drained",1.52
1,0.07,34,0.32,5.10,"Knuckle",35,"Medium",1,699,"hills, hills",194,7,"e",,,1862006,104,"Knuckle-Burgundy-Argixerolls complex, 20 to 70 percent slopes","Somewhat excessively drained",1.52
1,0.10,30,0.15,5.10,"Argixerolls",35,"Very high",2,393,"hills, hills",194,6,"e",,,1862006,104,"Knuckle-Burgundy-Argixerolls complex, 20 to 70 percent slopes","Well drained",1.52
1,0.13,37,0.24,6.60,"Tuborcio",43,"Very high",3,620,"hills, hills",194,6,"e",,,1862011,122,"Tuborcio sandy loam, 35 to 50 percent slopes","Well drained",3.30
1,0.13,37,0.24,6.00,"Tuborcio",60,"Very high",3,620,"hills, hills",194,6,"e",,,1862011,122,"Tuborcio sandy loam, 35 to 50 percent slopes","Well drained",3.30
1,0.15,38,0.28,5.00,"Backdoor",43,"Very high",3,590,"hills, hills",194,7,"e",,,1862011,122,"Tuborcio sandy loam, 35 to 50 percent slopes","Well drained",3.30
70,0.30,65,,6.10,"Tuborcio",28,"Very high",4,620,"hills, hills",194,6,"e",,,1862011,122,"Tuborcio sandy loam, 35 to 50 percent slopes","Well drained",3.30
7,0.12,35,0.2,6.50,"Rimtrail",3,"Low",5,163,"river valleys, valley flats",194,2,"e",3,"e",1862010,112,"Rimtrail sandy loam, 0 to 5 percent slopes","Well drained",3.02
7,0.12,34,0.24,6.50,"Rimtrail",7,"High",5,163,"valley flats, river valleys",194,2,"e",3,"e",1862010,112,"Rimtrail sandy loam, 0 to 5 percent slopes","Well drained",3.02
1,0.15,38,0.28,5.00,"Backdoor",15,"Very high",3,590,"hills, hills",194,6,"e",,,1862010,112,"Rimtrail sandy loam, 0 to 5 percent slopes","Well drained",3.02
1,0.15,39,0.28,5.00,"Backdoor",60,"High",3,590,"hills, hills",194,7,"e",,,1862009,111,"Backdoor-Tuborcio complex, 20 to 70 percent slopes","Well drained",3.57
1,0.13,31,0.1,6.00,"Tuborcio",35,"Very high",4,620,"hills, hills",194,6,"e",,,1862009,111,"Backdoor-Tuborcio complex, 20 to 70 percent slopes","Well drained",3.57
1,0.15,29,0.17,6.10,"Backdoor",60,"High",3,590,"hills, hills",194,7,"e",,,1862009,111,"Backdoor-Tuborcio complex, 20 to 70 percent slopes","Well drained",3.57
1,0.15,38,0.28,5.00,"Backdoor",43,"Very high",5,590,"hills, hills",194,7,"e",,,1862009,111,"Backdoor-Tuborcio complex, 20 to 70 percent slopes","Well drained",3.57
1,0.13,31,0.1,6.00,"Tuborcio",60,"Very high",4,620,"hills, hills",194,6,"e",,,1862009,111,"Backdoor-Tuborcio complex, 20 to 70 percent slopes","Well drained",3.57
1,0.15,28,0.17,6.10,"Backdoor",43,"High",3,590,"hills, hills",194,7,"e",,,1862009,111,"Backdoor-Tuborcio complex, 20 to 70 percent slopes","Well drained",3.57
1,0.12,23,0.1,5.60,"Highpeaks",43,"High",1,979,"hills, hills",194,7,"e",,,1862012,138,"Rock outcrop-Highpeaks-Chalone complex, 35 to 50 percent slopes","Well drained",2.38
1,0.09,27,0.2,6.50,"Chalone",43,"High",2,683,"hills, hills",194,6,"e",,,1862012,138,"Rock outcrop-Highpeaks-Chalone complex, 35 to 50 percent slopes","Well drained",2.38
1,0.10,30,0.15,6.30,"Argixerolls",43,"Very high",2,575.7999878,"hills, hills",194,6,"e",,,1862012,138,"Rock outcrop-Highpeaks-Chalone complex, 35 to 50 percent slopes","Well drained",2.38
1,0.12,21,0.1,5.60,"Highpeaks",60,"Very high",1,979,"hills, hills",194,7,"e",,,1862012,138,"Rock outcrop-Highpeaks-Chalone complex, 35 to 50 percent slopes","Well drained",2.38
75,0.45,65,,5.60,"Tuborcio",43,"Very high",3,620,"hills, hills",194,6,"e",,,1862013,148,"Backdoor-Tuborcio complex, 35 to 50 percent slopes","Well drained",3.63
1,0.15,39,0.37,5.00,"Backdoor",43,"High",3,590,"hills, hills",194,6,"e",,,1862013,148,"Backdoor-Tuborcio complex, 35 to 50 percent slopes","Well drained",3.63
1,0.15,38,0.37,5.00,"Backdoor",28,"Very high",3,590,"hills, hills",194,6,"e",,,1862013,148,"Backdoor-Tuborcio complex, 35 to 50 percent slopes","Well drained",3.63
1,0.10,30,0.15,5.10,"Argixerolls",22,"High",2,,"hills, hills",194,6,"e",,,1862013,148,"Backdoor-Tuborcio complex, 35 to 50 percent slopes","Well drained",3.63
1,0.12,35,0.28,7.00,"Backdoor",15,"High",3,590,"hills, hills",194,6,"e",,,1862014,152,"Backdoor sandy loam, 9 to 20 percent slopes","Well drained",3.31
7,0.12,34,0.2,6.50,"Rimtrail",3,"Low",5,163,"valley flats, river valleys",194,2,"e",3,"e",1862014,152,"Backdoor sandy loam, 9 to 20 percent slopes","Well drained",3.31
3.5,0.18,44,0.24,8.20,"Nacimiento",40,"Very high",3,437,"hillslopes on hills",325,6,"e",6,"e",2747740,"NbF","Nacimiento-Los Osos complex, 30 to 50 percent slopes, MLRA 15","Well drained",4.58
3,0.19,39,0.24,6.70,"Los Osos",40,"Very high",3,437,"hillslopes on hills",325,6,"e",6,"e",2747740,"NbF","Nacimiento-Los Osos complex, 30 to 50 percent slopes, MLRA 15","Well drained",4.58
6,0.11,34,0.05,5.40,"Santa Lucia",40,"High",2,197,"mountain slopes on mountains, hillslopes on hills",325,6,"e",,,2747745,"SfF","Santa Lucia channery clay loam, 30 to 50 percent slopes, MLRA 15","Well drained",2.85
0.75,0.12,37,0.28,6.80,"Gaviota",53,"Medium",1,640,"hills, mountains, -- Error in Exists On --",325,7,"e",,,2747728,"GdF","Gaviota sandy loam, 30 to 75 percent slopes, MLRA 15","Somewhat excessively drained",3.00
0.75,0.12,37,0.28,6.80,"Gaviota",25,"Medium",1,640,"hills, mountains, -- Error in Exists On --",325,7,"e",,,2747720,"GdE","Gaviota sandy loam, 15 to 30 percent slopes, MLRA 15","Somewhat excessively drained",3.00
3.5,0.18,46,0.32,8.00,"Nacimiento",20,"Medium",3,450,"mountain slopes on mountains, hillslopes on hills",330,4,"e",,,2747734,"NaE","Nacimiento silty clay loam, 15 to 30 percent slopes, MLRA 15","Well drained",4.50
3.5,0.19,40,0.32,8.10,"Nacimiento",40,"Very high",3,293,"mountain slopes on mountains, hillslopes on hills",330,6,"e",,,2747735,"NaF","Nacimiento silty clay loam, 30 to 50 percent slopes, MLRA 15","Well drained",4.75
2.5,0.19,44,0.24,7.50,"San Benito",63,"Very high",4,,"hills",,7,"e",,,2747741,"NbG","Nacimiento-Los Osos complex, 50 to 75 percent slopes, MLRA 15","Well drained",4.62
3,0.19,39,0.24,6.70,"Los Osos",63,"Very high",3,,"hills, uplands",,7,"e",,,2747741,"NbG","Nacimiento-Los Osos complex, 50 to 75 percent slopes, MLRA 15","Well drained",4.62
3.5,0.18,41,0.24,8.20,"Nacimiento",63,"Very high",3,739,"hills, uplands",225,7,"e",,,2747741,"NbG","Nacimiento-Los Osos complex, 50 to 75 percent slopes, MLRA 15","Well drained",4.62
6,0.12,31,0.05,6.00,"Santa Lucia",23,"High",2,490.2999878,"mountain slopes on mountains, hillslopes on hills",325,4,"e",,,2747742,"SfE","Santa Lucia channery clay loam, 15 to 30 percent slopes, MLRA 15","Well drained",2.75
4,0.16,38,0.2,5.50,"Lockwood",1,"Low",5,320,"alluvial fans on valleys, terraces on valleys",330,3,"s",2,"s",2833387,"LeA","Lockwood channery loam, 0 to 2 percent slopes, MLRA 14","Well drained",4.00
3.5,0.14,37,0.15,6.50,"Lockwood",6,"Medium",5,320,"alluvial fans, terraces, valleys",330,3,"e",2,"e",2833356,"LeC","Lockwood channery loam, 2 to 9 percent slopes, MLRA 14","Well drained",3.50
0.75,0.10,28,0.15,6.70,"Cieneba",63,"Medium",2,797,"mountain slopes on mountains, hillslopes on hills",240,7,"e",,,455571,"Cd","Cieneba-Rock outcrop complex, 50 to 75 percent slopes, cool MAAT, MLRA 15","Somewhat excessively drained",2.50
3,0.17,42,0.28,6.40,"Los Osos",23,"Very high",3,396,"mountain slopes on mountains, hillslopes on hills",280,4,"e",4,"e",455649,"LmE","Los Osos clay loam, 15 to 30 percent slopes, MLRA 15","Well drained",4.25
3,0.17,42,0.28,6.40,"Los Osos",40,"Very high",3,396,"mountain slopes on mountains, hillslopes on hills",280,6,"e",6,"e",455650,"LmF","Los Osos clay loam, 30 to 50 percent slopes, MLRA 15","Well drained",4.25
3,0.17,42,0.28,6.40,"Los Osos",65,"Very high",3,590,"mountain slopes on mountains, hillslopes on hills",280,7,"e",,,455651,"LmG","Los Osos clay loam, 50 to 75 percent slopes, MLRA 15","Well drained",4.25
1.5,0.18,43,0.37,7.00,"Rincon",1,"Medium",5,164,"alluvial fans on valleys, terraces on valleys",280,4,"s",2,"s",2833409,"RaA","Rincon clay loam, 0 to 2 percent slopes, MLRA 14","Well drained",4.50
1.5,0.17,43,0.32,7.00,"Rincon",6,"High",5,240,"alluvial fans on valleys, terraces on valleys",280,4,"e",2,"e",455704,"RaC","Rincon clay loam, 2 to 9 percent slopes, MLRA 14","Well drained",4.25
1.5,0.19,38,0.32,6.70,"Rincon",12,"Very high",5,307,"alluvial fans on alluvial plain remnants, terraces on alluvial plain remnants",250,4,"e",3,"e",455705,"RaD","Rincon clay loam, 9 to 15 percent slopes, MLRA 14","Well drained",4.75
1.5,0.19,38,0.32,6.70,"Rincon",23,"Very high",5,307,"alluvial fans on valleys, terraces on valleys",250,6,"e",,,455706,"RaE","Rincon clay loam, 15 to 30 percent slopes, MLRA 14","Well drained",4.75
3.5,0.18,46,0.32,8.00,"Nacimiento",40,"Very high",3,417,"mountain slopes on mountains, hillslopes on hills",300,6,"e",,,455674,"NaG","Nacimiento silty clay loam, 15 to 75 percent slopes, MLRA 15","Well drained",4.50
2,0.16,45,0.28,8.20,"Cropley",6,"Very high",5,324,"alluvial fans, terraces",280,3,"e",2,"e",455580,"CnC","Cropley silty clay, 2 to 9 percent slopes, MLRA 14","Well drained",4.00
2.5,0.16,40,0.32,8.20,"Salinas",1,"Low",5,160.1000061,"alluvial fans, alluvial flats, alluvial plains, flood plains, terraces",300,3,"c",1,,2833377,"SaA","Salinas loam, 0 to 2 percent slopes, MLRA 14","Well drained",4.00
2.5,0.18,40,0.37,7.00,"Salinas",1,"Low",5,328,"alluvial fans, alluvial plains, terraces",300,3,"c",1,,2833371,"SbA","Salinas clay loam, 0 to 2 percent slopes, MLRA 14","Well drained",4.61
3,0.20,40,0.37,7.90,"Mocho",1,"High",5,171,"flood plains",275,,,,,2833371,"SbA","Salinas clay loam, 0 to 2 percent slopes, MLRA 14","Well drained",4.61
2.5,0.18,40,0.37,7.50,"Salinas",6,"Medium",5,315,"alluvial fans, alluvial plains, terraces",266,3,"e",2,"e",2833375,"SbC","Salinas clay loam, 2 to 9 percent slopes, MLRA 14","Well drained",4.50
3,0.12,33,0.17,6.40,"Sheridan",23,"Very high",3,727,"hills, hills, mountain slopes, mountains",315,6,"e",,,455731,"SoE","Sheridan coarse sandy loam, 15 to 30 percent slopes, MLRA 15","Well drained",2.95
2.5,0.11,36,0.17,5.80,"Elder",1,"Low",5,229,"alluvial fans, alluvial plains, flood plains",330,3,"c",1,,2833398,"EaA","Elder sandy loam, 0 to 2 percent slopes, MLRA 14","Well drained",2.75
1.25,0.12,35,0.28,6.70,"Placentia",1,"Low",3,239,"alluvial fans, alluvial plains, terraces",315,3,"s",3,"s",455695,"PnA","Placentia sandy loam, 0 to 2 percent slopes, MLRA 14","Well drained",3.00
1.25,0.12,35,0.28,6.00,"Placentia",6,"Low",3,400,"alluvial fans, alluvial plains, terraces",300,4,"e",4,"e",455696,"PnC","Placentia sandy loam, 2 to 9 percent slopes, MLRA 14","Well drained",3.00
3,0.18,34,0.32,8.20,"Mocho",1,"Low",5,202,"alluvial fans, alluvial plains, flood plains, valleys",315,3,"c",1,,2833429,"MnA","Mocho silt loam, 0 to 2 percent slopes, MLRA 14","Well drained",4.16
3,0.15,35,0.37,8.00,"Mocho",1,"Medium",4,291,"alluvial fans, alluvial plains, flood plains, valleys",315,3,"c",1,,455668,"MoA","Mocho silty clay loam, 0 to 2 percent slopes, MLRA 14","Well drained",3.75
3,0.17,39,0.32,8.00,"Shedd",20,"Very high",3,450,"hills, hills, uplands",315,6,"e",,,455728,"SnE","Shedd silty clay loam, 15 to 30 percent slopes, MLRA 15","Well drained",4.25
3,0.18,40,0.24,6.30,"Pacheco",1,"Very low",5,200,"alluvial plains, flood plains",330,3,"w",2,"w",455682,"Pa","Pacheco clay loam, MLRA 14","Poorly drained",4.45
3,0.17,40,0.28,7.50,"Sorrento",1,"Medium",5,438,"alluvial plains, flood plains",300,3,"c",1,,455735,"SrA","Sorrento clay loam, 0 to 2 percent slopes, MLRA 14","Well drained",4.25
3,0.18,40,0.28,7.50,"Sorrento",6,"High",5,558,"alluvial fans, alluvial plains, flood plains",300,3,"e",2,"e",455736,"SrC","Sorrento clay loam, 2 to 9 percent slopes, MLRA 14","Well drained",4.50
1.700000048,0.15,49,0.24,8.00,"Clear Lake",0.5,"High",5,11,"basin floors on valleys",230,3,"w",2,"w",455574,"Cg","Clear Lake clay, sandy substratum, drained, 0 to 1 percent slopes, MLRA 14","Poorly drained",3.75
1.700000048,0.15,49,0.24,8.00,"Clear Lake",0.5,"High",5,3,"basin floors on valleys",230,4,"w",3,"w",455573,"Cf","Clear Lake clay, 0 to 1 percent slopes, frequently flooded, MLRA 14","Poorly drained",3.75
2,0.16,40,0.28,6.40,"Millsholm",53,"High",1,914,"hillslopes on hills",230,7,"e",,,455664,"MhG","Millsholm loam, 15 to 65 percent slopes, MLRA 15","Well drained",3.90
1.5,0.15,44,0.24,6.20,"Cropley",23,"Medium",5,344,"hills, terraces, valleys",280,3,"s",2,"s",455584,"DbE","Diablo clay, 15 to 30 percent slopes, MLRA 15","Moderately well drained",4.23
2.5,0.17,48,0.2,7.00,"Diablo",23,"Very high",4,344,"-- Error in Exists On --",280,4,"e",4,"e",455584,"DbE","Diablo clay, 15 to 30 percent slopes, MLRA 15","Well drained",4.23
1.5,0.13,36,0.24,6.40,"Arnold",33,"Low",4,138,"hills, terraces",330,6,"e",6,"e",455551,"AkF","Arnold loamy sand, 15 to 50 percent slopes, MLRA 15","Somewhat excessively drained",3.40
1.5,0.13,36,0.24,6.40,"Arnold",15,"Low",4,129,"hills, terraces",330,6,"e",6,"e",455550,"AkD","Arnold loamy sand, 9 to 20 percent slopes, MLRA 15","Somewhat excessively drained",3.40
6,0.12,31,0.05,6.00,"Santa Lucia",23,"High",2,163,"mountain slopes on mountains, hillslopes on hills",310,4,"e",,,455565,"CaE","Chamise channery loam, 15 to 30 percent slopes, MLRA 15","Well drained",3.38
4.5,0.13,34,0.17,5.80,"Chamise",23,"Very high",3,163,"hills, terraces",310,6,"e",,,455565,"CaE","Chamise channery loam, 15 to 30 percent slopes, MLRA 15","Well drained",3.38
3.5,0.14,37,0.15,6.50,"Lockwood",23,"Medium",5,163,"alluvial fans, terraces, valleys",310,3,"e",2,"e",455565,"CaE","Chamise channery loam, 15 to 30 percent slopes, MLRA 15","Well drained",3.38
1.25,0.12,35,0.28,6.00,"Placentia",12,"Low",3,210,"alluvial fans, alluvial plains, terraces",310,4,"e",4,"e",455564,"CaD","Chamise channery loam, 9 to 15 percent slopes, MLRA 15","Well drained",3.42
6,0.12,31,0.05,6.00,"Santa Lucia",12,"High",2,210,"mountain slopes on mountains, hillslopes on hills",310,4,"e",,,455564,"CaD","Chamise channery loam, 9 to 15 percent slopes, MLRA 15","Well drained",3.42
3.5,0.14,37,0.15,6.50,"Lockwood",12,"Medium",5,210,"alluvial fans, terraces, valleys",310,3,"e",2,"e",455564,"CaD","Chamise channery loam, 9 to 15 percent slopes, MLRA 15","Well drained",3.42
4.5,0.13,34,0.17,5.80,"Chamise",12,"Very high",3,210,"hills, terraces",310,6,"e",,,455564,"CaD","Chamise channery loam, 9 to 15 percent slopes, MLRA 15","Well drained",3.42
1.5,0.19,38,0.32,6.70,"Rincon",12,"Very high",5,210,"alluvial fans on alluvial plain remnants, terraces on alluvial plain remnants",310,4,"e",3,"e",455564,"CaD","Chamise channery loam, 9 to 15 percent slopes, MLRA 15","Well drained",3.42
1.5,0.14,41,0.2,7.50,"Climara",40,"Very high",3,533,"mountain slopes, mountains",225,7,"e",,,455576,"ChF","Climara clay, 30 to 50 percent slopes, MLRA 15","Well drained",3.50
2.5,0.17,48,0.2,7.00,"Diablo",40,"Very high",4,250,"-- Error in Exists On --",290,4,"e",4,"e",455585,"DbF","Diablo clay, 30 to 50 percent slopes, MLRA 15","Well drained",4.24
3.5,0.16,37,0.28,6.70,"Lodo",40,"Very high",1,250,"mountain slopes on mountains, ridges, hillslopes on hills",290,6,"e",6,"e",455585,"DbF","Diablo clay, 30 to 50 percent slopes, MLRA 15","Somewhat excessively drained",4.24
2.5,0.14,37,0.15,5.80,"Soper",12,,,183,"hills, mountains, uplands",325,6,"e",6,"e",455583,"DbD","Diablo clay, 5 to 25 percent slopes, MLRA 15","Well drained",4.22
1.5,0.14,47,0.17,7.00,"Clear Lake",12,,,183,"drainageways on hills",325,4,"e",2,"e",455583,"DbD","Diablo clay, 5 to 25 percent slopes, MLRA 15","Poorly drained",4.22
2.5,0.17,48,0.2,7.00,"Diablo",12,"Very high",4,183,"-- Error in Exists On --",325,4,"e",4,"e",455583,"DbD","Diablo clay, 5 to 25 percent slopes, MLRA 15","Well drained",4.22
3,0.17,39,0.32,8.00,"Shedd",12,,3,351,"-- Error in Exists On --",290,,,,,455633,"LbD","Linne-Diablo complex, 9 to 15 percent slopes","Well drained",4.25
2,0.17,51,0.32,8.00,"Linne",12,,3,351,"hills, hillslopes, mountain slopes, mountains",290,4,"e",4,"e",455633,"LbD","Linne-Diablo complex, 9 to 15 percent slopes","Well drained",4.25
2.5,0.17,48,0.2,7.00,"Diablo",12,"Very high",4,351,"-- Error in Exists On --",290,4,"e",4,"e",455633,"LbD","Linne-Diablo complex, 9 to 15 percent slopes","Well drained",4.25
1.5,0.14,38,0.28,6.10,"Botella",2,"Low",5,482,"fans, flood plains",260,3,"c",1,,693542,"YoA","Yolo loam, 0 to 20 percent slopes, occasionally flooded, MLRA 15","Well drained",4.19
2,0.14,46,0.15,7.50,"Cropley",2,"Low",5,482,"alluvial fans, terraces",260,3,"s",2,"s",693542,"YoA","Yolo loam, 0 to 20 percent slopes, occasionally flooded, MLRA 15","Well drained",4.19
3,0.20,41,0.2,6.10,"Gazos",2,"Low",3,482,"hills, mountains, uplands",260,4,"e",4,"e",693542,"YoA","Yolo loam, 0 to 20 percent slopes, occasionally flooded, MLRA 15","Well drained",4.19
1.5,0.13,42,0.28,6.70,"Pleasanton",2,"Low",5,482,"fans",260,3,"e",2,"e",693542,"YoA","Yolo loam, 0 to 20 percent slopes, occasionally flooded, MLRA 15","Well drained",4.19
2.5,0.16,45,0.32,7.90,"Sorrento",2,"Low",5,482,"fans, flood plains",260,3,"e",2,"e",693542,"YoA","Yolo loam, 0 to 20 percent slopes, occasionally flooded, MLRA 15","Well drained",4.19
1.5,0.17,41,0.43,5.80,"Yolo",2,"Low",5,482,"alluvial fans on valleys, flood plains on valleys",260,3,"c",1,,693542,"YoA","Yolo loam, 0 to 20 percent slopes, occasionally flooded, MLRA 15","Well drained",4.19
45,0.28,63,,,"Rindge",1,"Negligible",2,4,"sloughs",280,6,"w",,,455707,"Rb","Rindge muck, 0 to 2 percent slopes, MLRA 14","Very poorly drained",7.00
0.75,0.04,11,,7.00,"Fluvents",3,"Very low",5,475,"alluvial plains, flood plains",273,6,"w",,,455701,"Pr","Psamments and Fluvents, occasionally flooded, MLRA 14","Excessively drained",1.00
0.75,0.04,23,0.02,7.00,"Psamments",3,"Very low",5,475,"alluvial plains, flood plains",273,6,"w",,,455701,"Pr","Psamments and Fluvents, occasionally flooded, MLRA 14","Excessively drained",1.00
2.5,0.17,42,0.28,7.00,"San Benito",63,"Very high",4,505,"hills, uplands",210,7,"e",,,455716,"SdG","San Benito-Alo complex, 50 to 75 percent slopes, MLRA 15","Well drained",3.97
2,0.12,44,0.28,7.60,"Alo",63,"High",3,505,"hills, uplands",210,7,"e",,,455716,"SdG","San Benito-Alo complex, 50 to 75 percent slopes, MLRA 15","Well drained",3.97
2.5,0.18,42,0.28,7.50,"San Benito",40,"Very high",4,460,"hills, uplands",240,6,"e",,,455715,"SdF","San Benito-Diablo complex, 30 to 50 percent slopes, MLRA 15","Well drained",4.41
2.5,0.16,46,0.2,7.30,"Diablo",40,"Very low",4,460,"hills, uplands",240,6,"e",,,455715,"SdF","San Benito-Diablo complex, 30 to 50 percent slopes, MLRA 15","Well drained",4.41
2.5,0.14,34,0.1,6.30,"Los Gatos",40,"High",2,732,"hills, uplands",297,6,"e",,,455646,"LkF","Los Gatos gravelly loam, 30 to 50 percent slopes, thermic, high precipitation, MLRA 15","Well drained",3.50
0.75,0.12,36,0.17,6.50,"Vista",23,"Medium",3,453,"hills, uplands",260,6,"e",,,455742,"VaE","Vista coarse sandy loam, 15 to 30 percent slopes, cool, MLRA 15","Well drained",3.00
1,0.07,39,0.15,8.20,"Corducci",2,"Very low",5,170,"alluvial fans, flood plains, stream terraces, valleys",281,6,"e",,,3027893,300,"Corducci-Typic Xerofluvents, 0 to 5 percent slopes, occasionally flooded, MLRA 14","Somewhat excessively drained",1.70
1.5,0.07,38,0.1,7.60,"Typic Xerofluvents",2,"Very low",5,170,"alluvial plains, flood plains, stream terraces, valleys",281,6,"e",,,3027893,300,"Corducci-Typic Xerofluvents, 0 to 5 percent slopes, occasionally flooded, MLRA 14","Somewhat excessively drained",1.70
1.5,0.12,34,0.24,7.50,"Metz",2,"Very low",5,170,"alluvial plains, flood plains, stream terraces, valleys",281,6,"e",,,3027893,300,"Corducci-Typic Xerofluvents, 0 to 5 percent slopes, occasionally flooded, MLRA 14","Somewhat excessively drained",1.70
0.5,0.07,36,0.1,7.50,"Tujunga",2,"Very low",5,170,"alluvial plains, flood plains, stream terraces, valleys",281,6,"e",,,3027893,300,"Corducci-Typic Xerofluvents, 0 to 5 percent slopes, occasionally flooded, MLRA 14","Somewhat excessively drained",1.70
0.5,0.18,41,0.37,7.50,"Xeropsamments",2,"Very low",5,170,"alluvial plains, channels, drainageways, valleys",281,8,"w",,,3027893,300,"Corducci-Typic Xerofluvents, 0 to 5 percent slopes, occasionally flooded, MLRA 14","Excessively drained",1.70
0.5,0.05,21,0.05,7.50,"Xerofluvents",2,"Very low",5,170,"alluvial plains, channels, drainageways, valleys",281,8,"w",,,3027893,300,"Corducci-Typic Xerofluvents, 0 to 5 percent slopes, occasionally flooded, MLRA 14","Excessively drained",1.70
