"botname","comname","variety","growtype","method","wks_blf","sowdepth","space","life","light","comt1","comt2"
"Carex pendula","Hanging sedge",,"grass",">2 wks @ 70 F in light,  slow germ. from 2 to 14 weeks",-8,"covr","clump","Perennial","psha","moist, rich soil","zone 5"
"Lagarus ovatus","Hare's tail grass",,"grass","<2 wks @ 68 F, rapid germ.",-2,"covr","clump","Annual","fsun","well drained sandy soil","grow cool, 55-58"
"Zizia aptera","Heart-leaved alexanders","yellow","orn ","12 wks @ 39 F, move to 70 F for germ.",-12,"thin",10,"Perennial","psha","ground cover",
"Cotoneaster horizontalis","Herring bone cotoneaster","pink","shrub","wash seed, Sow outdoors in fall, slow germ. up to 18 months",25,"covr",180,"Perennial","fsun","well drained, loose, fertile soil","red berries"
"Podophyllum hexandrum","Himalayan mayapple",,"orn","WC 3x 7d, <2 wks @ 68 F, rapid germ.",-6,"covr",18,"Perennial","psha","needs deep soft soil in filtered light or shade",
"Nepeta clarkei","Himalyan catmint","blue","orn","<2 wks @ 68 F in dark, rapid germ.",-7,"thin",15,"Perennial","psun","grow cool, 50-55",
"Alcea ficifolia","Hollyhock","red","orn","3-4 wks @ 68 F, if no germ., 2-4 wks @ 39 F, then 68 F ",-1,"covr",18,"Perennial","fsun",,"grow cool, 55-60"
"Balsamorhiza hookeri","Hookers balsamroot",,"orn","4 wks @ 39 F, move to 68 F for germ.",-12,"thin",10,"Perennial","fsun",,
"Ptelea trifoliata","Hoptree",,"tree","12 wks @ 39 F, move to 70 F for germ.",-18,"covr",480,"Perennial","fsun",,
"Marrubium incanum","Horehound",,"orn","<2 wks @ 75 F, rapid germ.",-3,"thin",10,"Perennial","fsun",,
"Marrubium suppinum","Horehound",,"orn","<2 wks @ 75 F, rapid germ.",-3,"thin",10,"Perennial","fsun",,
"Phyteuma nigrum","Horned rampion","black-violet","orn",">2wks @ 68 F, slow germ.",-7,"surf",6,"Perennial","fsha","sharp drainage",
"Capsicum annuum","Hot pepper, orn #2","red, black leaves","orn","<2 wks @ 68 F, rapid germ.",-7,"surf",24,"Annual","fsun",,"grow cool"
"Dolichos lablab","Hyacinth bean vine","purple","orn","sow outdoors, <2 wks @ 68 F, rapid germ.",0,"covr",6,"Annual","fsun","trellis to 10 ft, pod toxic unless cooked",
"Hyssopus officinalis","Hyssop","blue","herb","<2 wks @ 68 F, rapid germ.",0,"covr",12,"Perennial","psun",,
"Mesembryanthemum criniflorum","Ice Plant","mix","orn","<2 wks @ 68 F, rapid germ.",-5,"covr",10,"Annual","fsun",,
"Papaver nudicaule","Iceland poppy","'wind song' yellow","orn","sow outdoors, <2 wks @ 60 F in dark, rapid germ.",-1,"covr",6,"Biennial","fsun",,
"Delosperma cooperi","Iceplant","carmine-red","orn","<2 wks @ 68 F in lite, rapid germ.",-6,"surf",8,"Annual","fsun","prostrate succulent",
"Xerantheumu anuum","Immortelle","mix","orn","<2 wks @ 68 F, rapid germ.",-3,"thin",6,"Annual","fsun","poor, dry soil",
"Impatiens walleriana","Impatiens","Elfin Mix","orn","<2 wks @ 77 F in lite, rapid germ.",-10,"surf",12,"Annual","fsha","grow cool, pinch",
"Incarvillea mairei","Incarvillea","pink/yel throat","orn","<2 wks @ 68 F, rapid germ.",-4,"thin",12,"Herbaceous perennial","fsun","give winter protection","May be I. compacta"
"Catalpa speciosa","Indian bean tree","white","tree","<2 wks @ 68 F, rapid germ",-8,"thin",480,"Perennial","fsun",,
"Sorghastrum nutans","Indian grass",,"grass","<2 wks @ 68 F, rapid germ.",-3,"thin","clump","Perennial","fsun","to 5', dry or well drained, A - S bloom, tolerant","glossy bronze seedhead, zone 4"
"Chasmanthium latifolium","Indian woodoats",,"grass","<2 wks @ 68 F, rapid germ.",-3,"thin","clump","Annual","psha","moist, rich soil","3to5ft high, seed heads fade to bronze"
"Salvia forskaohlei","Indigo woodland sage","blue/white","orn","3-4 wks @ 68 Fin lite, if no germ., 2-4 wks @ 39 F, then 68 F ",-6,"surf",12,"Biennial","psun",,"grow cool, pinch"
"Iris siberica","Iris","mix","orn","nick and soak, 2-4 wks @ 68 F, 4-6 wks @ 39 , move to 53  for germ.",-12,"covr",10,"Perennial","fsun","Move to 45  after strat.",
"Vernonia novaborensis","Ironweed","purple","orn","12 wks @ 39 F, move to 68 F slowly for germ.",-12,"thin",10,"Perennial","fsun","sow heavily, mostly empty seeds","prefers moist soil"
"Anchusa azurea","Italian bugloss","gentian blue","orn",">2 wks @ 68 F, slow germ.",-6,"surf",12,"Annual","fsun",,
"Zucchetta rampicante tromboncino","Italian zucchini","yellow","vege","<2 wks @ 72 F, rapid germ., sow outdoors",1,"covr",96,"Annual","fsun","do not grow more than one plant",
"Polemonium caeruleum","Jacob's ladder","blue","orn","<2 wks @ 68 F, rapid germ.",-7,"covr",18,"Perennial","psha","keep soil moist",
"Schizonepeta tenuifolia","Japanese catnip","Nepeta japonica","orn","<2 wks @ 68 F in dark, rapid germ.",-7,"thin",15,"Annual","fsun",,
"Jasione laevis","Jasione","blue light","orn","<2 wks @ 68 F in lite, rapid germ.",-6,"surf",10,"Perennial","fsun",,
"Nicotiana alata","Jasmine tobacco","White","orn","<2 wks @ 73 F in lite, rapid germ.",-8,"surf",12,"Annual","fsun",,"grow cool"
"Impatiens biflora","Jewelweed",,"orn","Sow outdoors in Sept. for spring germ.",20,"covr",12,"Annual","fsha","moist soils, grow cool",
"Datura stramonium","Jimsonweed"," white 1 ""","orn","2w to 12w @ 80 F, germ erratic",-8,"covr",18,"Annual","fsun",,
"Datura stramonium 'flagg creek'","Jimsonweed","white/purple throat","orn","sow @ 75 F for germ. in 10 days to 2 months.",-8,"covr",18,"Annual","fsun",,
"Datura stramonium v. tatula","Jimsonweed","pale blue 1 ""","orn","sow @ 75 F for germ. in 10 days to 2 months.",-8,"covr",18,"Annual","fsun",,
"Coix lacryma-jobi","Job's tears",,"grass","<2 wks @ 68 F, rapid germ.",-6,"covr","clump","Annual","fsun","moist, rich soil","zone 9"
"Eupatorium fistulosum","Joe Pye weed","off-white","orn","4 wks @ 68 F, 6 wks @ 39 , move to 70  for germ. in lite",-15,"surf",18,"Biennial","psun","to 5 ft tall, protect from afternoon sun","requires constant moisture "
"Jovibarba heuffelii","Jovibarba",,"orn","3-4 wks @ 68 F in lite, if no germ., 2-4 wks @ 39  ",-6,"surf",8,"Perennial","fsun","monocarpic",
"Brassica oleracea acephala","Kale","Flowering","orn","<2 wks @ 68 F, rapid germ.",3,"covr",12,"Annual","fsun",,"grow cool, 50-60"
"Kalimeris incisa","Kalimeris","pale blue","orn","<2 wks @ 68 F, rapid germ.",-5,"thin",18,"Perennial","fsun","to 5 ft.",
"Asphodeline lutea","King's spear","yellow","orn","3-4 wks @ 68 F, if no germ., 2-4 wks @ 39 ",-6,"thin",10,"Perennial","psun","3 to 4 ft high, grass like leaves",
"Kitaibelia vitifolia","Kitaibelia ","white","orn","puncture, >2 wks @ 68 F, slow germ",-6,"surf",15,"Perennial","psun","6 to 8 ft high, mallow family","no full sun"
"Cucumis metuliferus","Kiwano","yellow","orn","<2 wks @ 75 F, rapid germ.",0,"covr",12,"Annual","fsun","hairy climber, zone 10",
"Centaurea orientalis","Knapweed","pale yellow-cream","orn","<2 wks @ 68 F, rapid germ.",-5,"thin",12,"Perennial","fsun",,
"Knautia macedonica","Knautia","rose/violet","orn","<2 wks @ 75 F, rapid germ.",-5,"thin",15,"Perennial","fsun","rock garden type low grower",
"Brassica oleracea v. gongylodes","Kohlrabi","Grand duke","vege","<2 wks @ 68 F, rapid germ.",-5,"covr",24,"Herbaceous","fsun",,"grow cool, 50-60"
"Angelica gigas","Korean angelica","deep red","orn","4wks@68 F, 4wks@39 F, move to 53 F for germ.",-14,"cover",24,"Biennial","fsun","bee plant","Jelitto=meth#5"
"Capsicum baccatum","Kovinchu pepper","white","vege","<2 wks @ 72 F in lite, rapid germ.",-5,"surf",30,"Annual","fsun",,"grow cool"
"Ledum groenlandicum","Labrador tea","Evergreen","shrub","After GA-3 soak, >2 wks @ 68 F, slow germ.",-12,"covr",60,"Perennial","fsun","5ft x 5ft",
"Anthyllis vulneraria","Lady's fingers","yellow","orn","puncture, <2wks @ 68 F, rapid germ",-6,"thin",6,"a/p","fsun","resents cold and wet, 30 cm","hardy to 14 F"
"Alchemilla mollis","Lady's mantle","yellow","orn","2 wks @ 68, 4 wks @ 21 F, move to 53 F for germ.",-6,"thin",10,"Perennial","psha","ht=1 ft, cool weather plant","tolerates dry shade"
"Adenophora liliifolia","Ladybells","white or pale blue","orn","3-4 wks @ 68 F, if no germ. 4 wks @ 39 F, then 68 F",-10,"surf",12,"Perennial","fsun","well drained slightly alkaline","hardy to 5 F"
"Tanacetum huronense","Lake huron tansy","yellow","orn","<2 wks @ 68 F, rapid germ.",-7,"thin",12,"Perennial","psun","grow cool, 55-60",
"Stachys byzantina","Lamb's ear","violet pink","orn","<2 wks @ 68 F in lite, rapid germ.",-5,"surf",10,"Perennial","psun","grow cool",
"Solidago graminifolia","Lance-leaf goldenrod",,"orn","<2 wks @ 50 F, rapid germ.",-9,"thin",12,"Perennial","fsun","to 4 ft tall, dry soil, to zone 3, A - O bloom","sow heavily as only 5% of seeds develop"
"Coreopsis lanceolata","Lanceleaf tickseed","dazzler","orn","<2 wks @ 68 F in lite, rapid germ., may benefit from kno3",-5,"surf",9,"Annual","fsun",,"grow cool, 55"
"Penstemon laricifolius ssp. laricifolius","Larchleaf beardtongue","lavender-pink","orn","Surface sow   8 wks @ 40 F (4 C), needs light for germ.",-18,"surf",8,"Perennial","fsun","10"", tiny plant for rocks and trough gardens","all penstemons prefer dry soil"
"Penstemon grandiflorous","Large beardtongue","lav. pink or white","orn","Surface sow   8 wks @ 40 F (4 C), needs light for germ.",-18,"surf",8,"Perennial","fsun","prairie plant",
"Koeleria glauca","Large blue hair grass",,"grass","3-4 wks @ 68 F, if no germ., 2-4 wks @ 39 ",-6,"thin","clump","Perennial","fsun","well drained, infertile soil, slightly alkaline","suited to dry soils, mounding plant, zone 6"
"Camassia leichtlinii alba","Large camas","cream","orn","sow @ 39 F, germ. erratic, often many months",-12,"thin",20,"Herbaceous perennial","fsun","favorite of grizzly bears","4 to 5 yrs to flower from seed"
"Lysimachia punctata","Large yellow loosestrife","yellow","orn","3-4 wks @ 68 F, if no germ., 2-4 wks @ 39 F, then 68 F ",-8,"surf",12,"Perennial","fsun",,"T&M: 30-120d@55-60 psun"
"Telekia speciosa","Large yellow ox-eye","yellow","orn","8 wks @ 39 F, move to 68 F for germ.",-15,"thin",30,"Perennial","fsun","to 3-6', moist shade, widely spaced",
"Coreopsis grandiflorum","Largeflower tickseed","Early sunrise","orn","<2 wks @ 68 F in lite, rapid germ., may benefit from kno3",-5,"surf",9,"Perennial","fsun","aka. tickseed","grow cool, 55"
"Delphinium consolida","Larkspur","blue or pink","orn","sow outdoors in February for spring germ.",-12,"surf",4,"Annual","fsun","to 3 ft. high","fall sowings may germ. early & be destroyed by frost."
"Lavandula angustifolia","Lavender","purple","herb","6 wks @ 39 F, move to 65 F for 1-3 mths germ.",-8,"thin",12,"Perennial","fsun","zone 6-9, requires winter mulch","chill seed 1 year"
"Santolina chamaecyparissus","Lavender cotton",,"shrub","sow @ 39 F, germ. erratic",-10,"thin",15,"Perennial","fsun","dwarf shrub",
"Amorpha canescens","Leadplant","violet/blue","orn","2 hr. hot water soak, 3-4 wks @ 68 F, slow germ., if no germ, move to 39 F for 4 wks, recycle",-8,"thin",18,"Perennial","fsun"," grows to 2 to 3 ft",
"Carex buchananii","Leather leaf sedge","copper colored leaf","grass","3-4 wks @ 68 F, if no germ. 2-4 wks @ 39 F, then 68 F",-8,"covr","clump","Perennial","psha","Constantly moist, fast draining, rocky soil",
"Eryngium leavenworthii","Leavenworth eryngo","purple","orn","dry store cold 6m, then sow @ 72 F, rapid germ.",-6,"thin",6,"Annual","fsun","zone 6",
"Allium ampeloprasum","Leeks","white","orn","<2 wks @ 60 F, rapid germ.",-16,"covr",6,"Perennial","fsun","transplant to 10 inches second year",
"Melissa officianalis","Lemon Balm",,"orn","<2 wks @ 68 F, rapid germ.",-6,"thin",12,"Perennial","psha","prefers cool location, fertile & moist","mulch crowns for winter"
"Ligularia dentata ","Leopard plant","yellow","orn",">4 wks @ 55- 60 F, germ. erratic to 6 months or more",-17,"thin",12,"Perennial","fsha","3 to 5 ft high, germ 30 to 180 days, or sow @ 39 F, move to 60 F after 4 weeks","seeds produced by any one plant will be viable only if  the plant is very happy."
"Centaurea nigra","Lesser knapweed","purple","orn ",">2 wks @ 68 F, slow germ.",-6,"thin",12,"Perennial","fsun",,
"Thalictrum minus","Lesser meadow rue","yellow","orn","3-4 wks @ 68 F, if no germ., 2-4 wks @ 39 F, then 68 F ",-10,"thin",6,"Perennial","fsun",,
"Lactuca sativa","Lettuce","summertime - head","vege","sow outdoors, <2 wks @ 68 F in lite, rapid germ.",-4,"surf",6,"Annual","fsun","grow cool, 55-58",
"Leonurus marrubiastrum","Lion's tail",,"orn","<2 wks @ 68 F, rapid germ.",-4,"thin",8,"Perennial","fsun",,
"Eustoma russellianus","Lisianthus","Mermaid series","orn","<2 wks @ 77 F in lite, rapid germ.",25,"surf",2,"Annual","fsun","After 7 wks, go to 65  nite & 78  day temp","Plant 3 to a 5"" pot"
"Schizachyrium scoparium","Little bluestem",,"grass","<2 wks @ 68 F, rapid germ.",-4,"thin","clump","Perennial","fsun","tolerant but well drained","zone 3"
"Salvia microphylla var. wislizeni  syn. (S. lemmonii)","Little leaf sage","deep pink","shrub","3-4 wks @ 68 Fin lite, if no germ., 2-4 wks @ 39 F, then 68 F ",-2,"surf",15,"Perennial","fsun","lemon scented foliage, hardy to zone 6",
"Lobelia erinus","Lobelia","Trailing","orn","<2 wks @ 75 F in lite, rapid germ.",-8,"surf",6,"Annual","psun",,"grow cool"
"Lactuca ludoviciana","Louisiana lettuce","none","orn","6 wks @ 39 F, move to 68 F for germ.",-12,"surf",12,"Annual","fsun",,
"Levisticum officinalis","Lovage","Yellow","herb","<2 wks @ 68 F, rapid germ.",-4,"covr",24,"Perennial","fsun",,
"Nigella damascena","Love in a mist","blue","orn","sow outdoors, <2 wks @ 68 F, rapid germ.",0,"covr",6,"Annual","psun","1 to 2 ft high","grow cool"
"Cardiospermum halicacabum","Love in a puff","white","vine","scratch and soak o/n, <2 wks @ 72 F, rapid germ.",-2,"covr",15,"Annual","fsun","requires support to 3m","will grow in shade"
"Amaranthus caudatus","Love lies bleeding","red","orn","<2 wks @ 72 F, rapid germ.",-2,"thin",24,"Annual","fsun",,"grow cool"
"Crocosmia sp ex 'lucifer'","Lucifer crocosmia","scarlet/yellow","orn",">2 wks @ 68 F, slow germ.",-6,"thin",18,"Perennial","fsun","3-4 ft",
"Pulmonaria saccarata","Lungwort","blue/pink","orn","sow outdoors, <2 wks @ 50 F, rapid germ.",-6,"thin",12,"Perennial","fsha",,
"Lupinus polyphyllus","Lupine","purple","orn","nick coat, <2 wks @ 68 F, rapid germ. ",-6,"covr",15,"Perennial","psha","may be shortlived if winter soil is wet","grow cool, 55-60"
"Lychnis migueliana","Lychnis","Red/orange","orn","<2 wks @ 68 F in lite, rapid germ.",-8,"surf",10,"Perennial","fsun","grow cool, 50",
"Lychnis sieboldii","Lychnis",,"orn","<2 wks @ 68 F in lite, rapid germ.",-8,"surf",10,"Perennial","fsun","grow cool, 50","far eastern species"
"Lychnis wilfordii","Lychnis",,"orn","<2 wks @ 68 F in lite, rapid germ.",-8,"surf",10,"Perennial","fsun","grow cool, 50",
"Lychnis x arkwrightii","Lychnis","'vesuvius'","orn","<2 wks @ 68 F in lite, rapid germ.",-5,"surf",12,"Perennial","fsun",,
"Lychnis x haageana","Lychnis","mix","orn","<2 wks @ 68 F in lite, rapid germ.",-6,"surf",12,"Perennial","fsun",,
"Lychnis yunnanensis","Lychnis","red","orn","<2 wks @ 68 F in lite, rapid germ.",-6,"surf",12,"Perennial","fsun",,
"Salvia lyrata","Lyre-leaved sage","none","orn","3-4 wks @ 68 Fin lite, if no germ., 2-4 wks @ 39 F, then 68 F ",-3,"surf",8,"Perennial","psun","purple-leaf mottled foliage, to 2'","grown only for the foliage"
"Basella alba ","Malabar spinach","white","orn","<2 wks @ 68 F, rapid germ.",-4,"thin",10,"Annual","fsun",,
"Lychnis chalcedonica","Maltese cross","red   ","orn","<2 wks @ 68 F in lite, rapid germ.",-8,"surf",10,"Perennial","fsun","grow cool, 50",
"Lychnis chalcedonica 'morgenrot","Maltese cross","pink","orn","<2 wks @ 68 F in lite, rapid germ.",-8,"surf",10,"Perennial","fsun","grow cool, 50",
"Lychnis chalcedonica alba","Maltese cross","white","orn","<2 wks @ 68 F in lite, rapid germ.",-8,"surf",10,"Perennial","fsun","grow cool, 50",
"Malva sylvestris","Malva zebrina","purple","orn","<2 wks @ 71 F, rapid germ.",-4,"covr",12,"Perennial","psun","keep on dry side during winter months","self sows, grow cool, 50"
"Aralia cordata","Manchurian Spikenard","white","shrub","3m @ 39 F, move to 53 F for germ",-16,"thin",48,"Perennial","fsun","solitaire plant",
"Capsicum pubescens","Manzano Peru pepper","violet","vege","<2 wks @ 72 F in lite, rapid germ.",-5,"surf",30,"Annual","fsun",,"grow cool"
"Marrubium cyllenium","Marrubium","blue","orn","<2 wks @ 75 F, rapid germ.",-3,"thin",10,"Perennial","fsun",,
"Marrubium friwaldskyanum","Marrubium","white","orn","<2 wks @ 75 F, rapid germ.",-3,"thin",10,"Perennial","fsun",,
"Liatris spicata 'kobold'","Marsh blazing star","purple","orn","12 wks @ 39 F, move to 68 F for germ.",-15,"surf",12,"Perennial","fsun",," many empty seeds, grow cool, 50"
"Alonsoa warcewicsii 'peachy keane'","Mask flower","scarlet","orn","<2 wks @ 65 F, rapid germ.",-6,"surf",18,"Herbaceous perennial","fsun",,
"Astrantia grandiflora","Masterwort",,"orn","4 wks @ 68 F, 12 wks @ 39 , move to 45  for germ.",-18,"thin",15,"Perennial","psha","prefers moist soils",
"Salvia pratensis","Meadow clary","blue","orn","3-4 wks @ 68 F, if no germ., 2-4 wks @ 39 F, then 68 F ",-6,"thin",10,"Perennial","psha",,
"Thalictrum delavayii","Meadow rue","lilac/white","orn","4-8 wks @ 39 F, move to 68 F for germ.",-15,"covr",12,"Perennial","psha","3 to 4 ft high, well drained soil","germination low and sporadic."
"Thalictrum dipterocarpum","Meadow rue","lilac-rose","orn","3-4 wks @ 68 F, if no germ., 2-4 wks @ 39 F, then 68 F ",-10,"thin",6,"Perennial","fsun","3 to 4 ft high, well drained soil","germination low and sporadic."
"Thalictrum rochebrunianum","Meadow rue","rose/lilac","orn","3-4 wks @ 68 F, if no germ., 2-4 wks @ 39 F, then 68 F ",-10,"thin",6,"Perennial","fsun","to zone 8",
"Filipendula hexapetala","Meadowsweet","white","orn","6 wks @ 39 F, move to 68 F for germ.",-12,"thin",15,"Perennial","fsun","2.5ft x 1.3ft","may go dormant during droughts, prefers moist soil"
"Salvia farinacea","Mealycup sage","blue","orn","3-4 wks @ 68 Fin lite, if no germ., 2-4 wks @ 39 F, then 68 F ",-6,"surf",12,"Perennial","fsun","loved by bumblebees","grow cool, pinch"
"Euphorbia cyathophora","Mexican fire plant","yellow","orn","<2 wks @ 68 F, rapid germ.",0,"covr",18,"Annual","fsun",,
"Ratibida columnifera","Mexican hat","yellow","orn","9 wks @ 39 F, move to 80 F for germ.",-13,"covr",8,"Annual","fsun",,
"Reseda odorata","Mignonette","mix","orn","<2 wks @ 68 F, rapid germ.",-3,"thin",6,"Annual","fsun",,
"Astragalus centralpinus","Milkvetch","(alopecuroides) yellow","orn","nick and soak, <2 wks @ 68 F, rapid germ.",-9,"covr",36,"Perennial","fsun","to 2 ft.","sow own pots to avoid allellopathic effect"
"Mimulus x hybridus","Mimulus","Monkey flower","orn","<2 wks @ 65 F in lite, rapid germ.",-8,"surf",3,"Annual","psha","very tender miniature plant","grow cool, 55-60, pinch"
"Calamintha grandiflora","Mint savory",,"orn","2-4 wks @ 68 F, 4-6 wks @ 39 , move to 53  for germ.",-12,"surf",8,"Perennial","psha","zone 5 spreader by rhizomes, invasive","10 - 20"" high, not a pretty plant"
"Eryngium giganteum","Miss Willmott's ghost","ivory white","orn","2-4 wks @ 68 F, 4-6 wks @ 39 , move to 53  for germ.",-18,"thin",6,"Biennial","fsun","zone 6",
"Vernonia missurica","Missouri ironweed","fuschia","orn","12 wks @ 39 F, move to 68 F slowly for germ.",-12,"thin",10,"Perennial","fsun","sow heavily, mostly empty seeds","prefers moist soil, to 6 ft tall, Jy - S bloom"
"Eupatorium coelistinum alba","Mistflower","white","orn","3-4 wks @ 68 F, if no germ., 2-4 wks @ 39 F, then 68 F in lite",-10,"surf",6,"Perennial","fsun",,
"Monarda austromontana","Monarda","violet","orn","<2 wks @ 60 F in lite, rapid germ.",-7,"surf",12,"Perennial","psha","M. citriodora ssp austromontana","Ariz, New Mexico, N Mexico"
"Lunaria biennis","Money plant","white","orn","<2 wks @ 68 F in lite, rapid germ.",-6,"surf",8,"Biennial","fsun","grow cool, 55-60",
"Aconitum napellus","Monkshood","blue","orn","sow outdoors, or 2-4 wks @ 68 F, 4-6 mths @ 21 F, move to 53 F for germ.",25,"surf",12,"Perennial","fsha","very short lived seed, sow fresh only",
"Ipomoea alba","Moonflower vine","White","vine","nick and soak, <2 wks @ 68 F, rapid germ.",-3,"covr",12,"Annual","fsun","pinch twining growth to encourage root growth",
"Carex grayi","Morning star sedge",,"grass",">2 wks @ 70 F in light,  slow germ. from 2 to 14 weeks",-8,"covr","clump","Perennial","fsun","wet in spring, almost dry in summer","zone 5"
"Eryngium variifolium","Moroccan sea holly",,"orn","12 wks @ 39 F, move to 68 F for germ.",13,"thin",6,"Biennial","fsun","zone 6, 60-80 cm",
"Agastache cana","Mosquito plant","rose-lilac","orn","<2 wks @ 68 F, rapid germ.",-6,"thin",10,"Perennial","fsun","to 4.5 ft.",
"Verbascum blattaria","Moth mullein","yellow & lilac","orn","<2 wks @ 68 F in lite, rapid germ.",-5,"surf",12,"hb","psun","1"" yellow flowers on long stalks,","followed by everlasting seed pods"
"Verbascum blattaria alba","Moth mullein","white","orn","<2 wks @ 68 F in lite, rapid germ.",-5,"surf",12,"hb","psun","1"" yellow flowers on long stalks,","followed by everlasting seed pods"
"Leonurus cardiaca","Motherwort","red/pink","orn","3-4 wks @ 68 F, if no germ., 2-4 wks @ 39 F, then 68 F ",-10,"thin",6,"Perennial","fsun","to 5 ft tall, M - A bloom","sometimes known as Agripalma"
"Sorbus americana","Mountain ash",,"tree","Sow outdoors in the fall  for spring germ.",25,"covr",120,"Perennial","psha",,"slow grower, short life, keep very wet"
"Centaurea Montana ","Mountain cornflower","blue","orn","<2 wks @ 68 F, rapid germ.",-6,"thin",13,"Perennial","fsun",,
"Alyssum montanum","Mountain madwort","gold","orn","<2 wks @ 75 F, rapid germ.",-5,"covr",18,"Perennial","psun","blooms second season","15 cm"
"Geranium phaeum album","Mourning widow","purple","orn","sow @ 39 F, germ. erratic, often many months",-15,"thin",12,"Perennial","psha",,
"Verbascum bombyciferum","Mullein","arctic summer, yellow","orn","<2 wks @ 68 F in lite, rapid germ.",-5,"surf",12,"Biennial","psun","zone 6",
"Lychnis coronaria 'angel blush'","Mullein pink","white/pink","orn","<2 wks @ 68 F in lite, rapid germ.",-8,"surf",10,"Perennial","fsun","grow cool, 50",
"Euphorbia myrsinites","Myrtle spurge","yellow","orn","<2 wks @ 68 F in lite, if no germ. 4 wks @ 39 F, recycle",0,"surf",12,"Perennial","psha",,"grow cool, 50-55"
"Solanum quitoense","Naranjilla","white","orn","<2 wks @ 73 F, rapid germ.",-5,"covr",24,"Annual","fsun","grow cool",
"Lathyrus sylvestris","Narrowleaf everlasting pea","purple pink","orn","nick and soak, sow outdoors <2 wks @ 68 F in the dark, rapid germ.",-2,"covr",10,"Annual","fsun","to 6 ft height - staking required","grow cool, 50-55"
"Tropaeolum majus","Nasturtium","tall single mix","orn","sow outdoors, <2 wks @ 68 F in dark, rapid germ.",-4,"covr",8,"Annual","fsun","resent transplanting, 5 ft climber","best sown where they are to grow"
"Stipa tenuissima","Needlegrass",,"grass","sow @ 39 F, erratic, many months",-13,"cover","clump","Perennial","fsun","rich, well drained soil","zone 7"
"Nemesia strumosa","Nemesia","mello","orn","<2 wks @ 68 F in dark, rapid germ.",-5,"thin",12,"Annual","fsun",,
"Agastache urticifolia","Nettle-leaved horsemint","dwarf rose","orn","<2 wks @ 68 F, rapid germ.",-6,"thin",10,"Perennial","fsun",,
"Aster novi-belgii 'royal blue'","New Belgium aster","blue","orn",">2 wks @ 68 F in lite, slow germ.",-7,"surf",8,"Perennial","fsun","fertile, moisture retentive","sensitive to powdery mildew"
"Carex comans","New Zealand hair sedge",,"grass","4 wks @ 68 F, 4 wks @ 39 , move to 53  for germ.",-12,"covr","clump","Perennial","psha","Constantly moist, fast draining, rocky soil","zone 7"
"Libertia grandiflora","New Zealand Satin Flwr","white - patio plant","orn","<2 wks @ 75 F, rapid germ.",-4,"thin",10,"Herbaceous perennial","psha",,
"Liatris scariola nieu ","Nieuwland's gayfeather","blue/red","orn","12 wks @ 39 F, move to 68 F for germ.",-15,"surf",12,"Perennial","fsun",," many empty seeds, grow cool, 50"
"Guizotia abyssinica","Niger seed","yellow","orn","<2 wks @ 68 F, rapid germ.",-5,"thin",10,"Annual","fsun",,
"Zaluzianskya capensis","Night phlox","white","orn","<2 wks @ 68 F, rapid germ.",-3,"thin",10,"Annual","fsun",,
"Melica ciliata","Nodding melic",,"grass","6moDS,<2 wks @ 68 F, rapid germ.",-6,"covr","clump","Perennial","fsun",,
"Allium cernuum","Nodding onion","pink/white","orn","2 wks @ 68, 4 wks @ 21 F, move to 53 F for germ.",-18,"covr",10,"Perennial","fsun","hold seedlings for 2 months before setting out","one per pot"
"Physostegia virginiana","Obedient plant","'summer snow' white","orn","12 wks @ 39 F, move to 68 F for slow germ.",-15,"thin",24,"Perennial","fsun","prefers moist soil",
"Nerium oleander","Oleander","pale peach","shrub","<2 wks @ 75 F, rapid germ.",-8,"thin",36,"Herbaceous perennial","fsun","sensitive to scale, mealy bug, etc.","house plant in zone 5"
"Allium cepa","Onion","Riverside spanish","vege","<2 wks @ 68 F, rapid germ.",-18,"covr",6,"Annual","fsun","grow cool, 55-60",
"Buddleia globosa","Orange ball tree","orange","shrub","<2 wks @ 68 F in lite, rapid germ.",-8,"surf",30,"Perennial","psun","flowers on old wood",
"Buddleia davidii","Orange eye butterflybush","lavender","shrub",">2 wks @ 75 F, slow germ.",-8,"thin",36,"Herbaceous perennial","psun","4' x 4', germ in 15 days",
"Sedum kamtschaticum","Orange stonecrop","yellow","orn",">2 wks @ 68 F, slow germ in light, very fine seed",-6,"surf",6,"Perennial","fsun",,
"Brassica oleracea","Ornamental cabbage",,"orn","<2 wks @ 68 F, rapid germ.",5,"covr",12,"Annual","fsun",,
"Hymenoxys hoopesii","Owl's claws",,"orn",">2 wks @ 68 F in lite, slow germ.",-6,"surf",10,"Perennial","fsun",,"syn=helenium"
"Leucanthemum vulgare","Ox-eye daisy","white","orn","<2 wks @ 68 F in lite, rapid germ.",-5,"surf",12,"Annual","fsun","bloom second year, to 2  ft tall, M - A bloom","grow cool, 55-60"
"Tanacetum coccineum","Painted daisy","red/yellow","orn","<2 wks @ 68 F, rapid germ.",-7,"thin",12,"Perennial","psun","bloom second year","grow cool, 55-60"
"Agastache barberi","Pale giant hyssop","copper-orange","orn","<2 wks @ 68 F, rapid germ.",-6,"thin",10,"Perennial","fsun","hummingbird plant","syn=A. pallida"
"Cacalia atriplicifolia","Pale Indian plantain",,"orn","12 wks @ 39 F, move to 68 F for germ.",-12,"thin",10,"Perennial","fsun",,
